#======= TRAJECTORY BEGIN: Robot Sample 2 - Trajectory using TrajectoryLibrary
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),    Angle(rel)
#--------             meters,     meters,     radians,    meters,     meters,     radians
#--------Waypoint:     0.381       2.667      -0.785       0.000       0.000       0.000
#--------Waypoint:     2.667       1.651       0.000       2.335       0.898       0.785
#--------Waypoint:     5.334       2.692       0.785       3.484       3.520       1.571
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          1.27000  m/s
#--------Maximum Acceleration:      1.01600  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          1.27000  m/s
#--------Track width:               0.53000  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           Yes
#--------Track width:               0.53000  m
#--------Maximum voltage:          10.00000  V
#--------Feedforward Ks:            0.90000  V
#--------Feedforward Kv:            6.66000  V s/m
#--------Feedforward Ka:            3.00000  V s^2/m
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.50800  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.01600,    0.00000,    0.00000,    0.00000,    0.20259,Segment:  1
   0.42782,    0.43466,    1.01600,    0.09297,    0.00089,    0.01933,    0.21329,Segment:  2
   0.60240,    0.61204,    1.01600,    0.18430,    0.00356,    0.03931,    0.22417,Segment:  3
   0.73464,    0.74640,    1.01600,    0.27402,    0.00801,    0.05994,    0.23515,Segment:  4
   0.84477,    0.85828,    0.94219,    0.36215,    0.01423,    0.08120,    0.24616,Segment:  5
   0.94101,    0.94896,    0.73314,    0.44875,    0.02223,    0.10309,    0.25712,Segment:  6
   1.02832,    1.01297,    0.58344,    0.53384,    0.03199,    0.12557,    0.26793,Segment:  7
   1.10974,    1.06048,    0.47060,    0.61746,    0.04352,    0.14864,    0.27849,Segment:  8
   1.18693,    1.09680,    0.38287,    0.69965,    0.05682,    0.17225,    0.28868,Segment:  9
   1.26090,    1.12512,    0.31327,    0.78044,    0.07188,    0.19638,    0.29840,Segment:  10
   1.33235,    1.14751,    0.25729,    0.85987,    0.08869,    0.22098,    0.30753,Segment:  11
   1.40177,    1.16537,    0.06387,    0.93797,    0.10726,    0.24601,    0.31594,Segment:  12
   1.46982,    1.16971,   -0.02814,    1.01478,    0.12758,    0.27142,    0.32353,Segment:  13
   1.53717,    1.16782,   -0.02385,    1.09034,    0.14966,    0.29716,    0.33018,Segment:  14
   1.60406,    1.16622,   -0.01914,    1.16467,    0.17348,    0.32316,    0.33579,Segment:  15
   1.67054,    1.16495,   -0.01409,    1.23782,    0.19905,    0.34936,    0.34028,Segment:  16
   1.73667,    1.16402,   -0.00876,    1.30983,    0.22636,    0.37570,    0.34357,Segment:  17
   1.80250,    1.16344,   -0.00326,    1.38072,    0.25540,    0.40211,    0.34562,Segment:  18
   1.86809,    1.16323,    0.00234,    1.45053,    0.28619,    0.42852,    0.34637,Segment:  19
   1.93349,    1.16338,    0.00794,    1.51931,    0.31871,    0.45485,    0.34583,Segment:  20
   1.99874,    1.16390,    0.01345,    1.58707,    0.35296,    0.48105,    0.34399,Segment:  21
   2.06390,    1.16478,    0.01877,    1.65387,    0.38894,    0.50704,    0.34090,Segment:  22
   2.12903,    1.16600,    0.02382,    1.71974,    0.42664,    0.53276,    0.33658,Segment:  23
   2.19416,    1.16755,    0.02852,    1.78470,    0.46607,    0.55814,    0.33112,Segment:  24
   2.25935,    1.16941,    0.03283,    1.84881,    0.50722,    0.58312,    0.32460,Segment:  25
   2.32465,    1.17155,    0.03668,    1.91208,    0.55009,    0.60765,    0.31710,Segment:  26
   2.39010,    1.17395,    0.04004,    1.97457,    0.59467,    0.63167,    0.30873,Segment:  27
   2.45575,    1.17658,    0.04289,    2.03630,    0.64096,    0.65515,    0.29961,Segment:  28
   2.52165,    1.17941,    0.04523,    2.09731,    0.68897,    0.67803,    0.28985,Segment:  29
   2.58785,    1.18240,    0.04705,    2.15764,    0.73868,    0.70029,    0.27956,Segment:  30
   2.65438,    1.18553,    0.04838,    2.21731,    0.79009,    0.72189,    0.26886,Segment:  31
   2.72129,    1.18877,    0.04923,    2.27638,    0.84321,    0.74281,    0.25785,Segment:  32
   2.78863,    1.19209,   -0.00411,    2.33487,    0.89803,    0.76303,    0.24664,Segment:  33
   2.85652,    1.19181,   -0.00544,    2.39279,    0.95454,    0.78303,    0.24758,Segment:  34
   2.92507,    1.19143,   -0.00661,    2.45010,    1.01274,    0.80330,    0.24884,Segment:  35
   2.99425,    1.19098,   -0.00762,    2.50671,    1.07263,    0.82387,    0.25038,Segment:  36
   3.06405,    1.19045,   -0.00848,    2.56253,    1.13420,    0.84475,    0.25218,Segment:  37
   3.13445,    1.18985,   -0.00920,    2.61750,    1.19745,    0.86597,    0.25420,Segment:  38
   3.20545,    1.18920,   -0.00977,    2.67152,    1.26236,    0.88753,    0.25641,Segment:  39
   3.27704,    1.18850,   -0.01021,    2.72452,    1.32895,    0.90945,    0.25879,Segment:  40
   3.34920,    1.18776,   -0.01051,    2.77642,    1.39719,    0.93175,    0.26129,Segment:  41
   3.42194,    1.18699,   -0.01067,    2.82715,    1.46709,    0.95443,    0.26389,Segment:  42
   3.49524,    1.18621,   -0.01069,    2.87661,    1.53864,    0.97750,    0.26655,Segment:  43
   3.56911,    1.18542,   -0.01057,    2.92473,    1.61184,    1.00096,    0.26924,Segment:  44
   3.64355,    1.18464,   -0.01030,    2.97143,    1.68668,    1.02483,    0.27193,Segment:  45
   3.71857,    1.18386,   -0.00989,    3.01664,    1.76315,    1.04911,    0.27457,Segment:  46
   3.79416,    1.18311,   -0.00934,    3.06026,    1.84125,    1.07379,    0.27713,Segment:  47
   3.87033,    1.18240,   -0.00865,    3.10222,    1.92098,    1.09887,    0.27956,Segment:  48
   3.94711,    1.18174,   -0.00782,    3.14245,    2.00233,    1.12434,    0.28184,Segment:  49
   4.02449,    1.18113,   -0.00685,    3.18086,    2.08530,    1.15021,    0.28392,Segment:  50
