#======= TRAJECTORY BEGIN: Sample 2 - Trajectory using TrajectoryLibrary
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),    Angle(rel)
#--------             meters,     meters,     radians,    meters,     meters,     radians
#--------Waypoint:     0.381       2.667      -0.785       0.000       0.000       0.000
#--------Waypoint:     2.667       1.651       0.000       2.335       0.898       0.785
#--------Waypoint:     5.334       2.692       0.785       3.484       3.520       1.571
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          1.27000  m/s
#--------Maximum Acceleration:      1.01600  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          1.27000  m/s
#--------Track width:               1.27000  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.50800  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.01600,    0.00000,    0.00000,    0.00000,    0.20259,Segment:  1
   0.42782,    0.43466,    1.01600,    0.09297,    0.00089,    0.01933,    0.21329,Segment:  2
   0.60240,    0.61204,    1.01600,    0.18430,    0.00356,    0.03931,    0.22417,Segment:  3
   0.73464,    0.74640,    1.01600,    0.27402,    0.00801,    0.05994,    0.23515,Segment:  4
   0.84477,    0.85828,    1.01600,    0.36215,    0.01423,    0.08120,    0.24616,Segment:  5
   0.94065,    0.95570,    1.01600,    0.44875,    0.02223,    0.10309,    0.25712,Segment:  6
   1.02637,    1.04279,    0.45717,    0.53384,    0.03199,    0.12557,    0.26793,Segment:  7
   1.10593,    1.07916,   -0.07633,    0.61746,    0.04352,    0.14864,    0.27849,Segment:  8
   1.18329,    1.07326,   -0.07254,    0.69965,    0.05682,    0.17225,    0.28868,Segment:  9
   1.26006,    1.06769,   -0.06791,    0.78044,    0.07188,    0.19638,    0.29840,Segment:  10
   1.33629,    1.06251,   -0.06244,    0.85987,    0.08869,    0.22098,    0.30753,Segment:  11
   1.41201,    1.05778,   -0.05617,    0.93797,    0.10726,    0.24601,    0.31594,Segment:  12
   1.48727,    1.05356,   -0.04914,    1.01478,    0.12758,    0.27142,    0.32353,Segment:  13
   1.56212,    1.04988,   -0.04143,    1.09034,    0.14966,    0.29716,    0.33018,Segment:  14
   1.63658,    1.04679,   -0.03311,    1.16467,    0.17348,    0.32316,    0.33579,Segment:  15
   1.71069,    1.04434,   -0.02429,    1.23782,    0.19905,    0.34936,    0.34028,Segment:  16
   1.78449,    1.04255,   -0.01508,    1.30983,    0.22636,    0.37570,    0.34357,Segment:  17
   1.85802,    1.04144,   -0.00559,    1.38072,    0.25540,    0.40211,    0.34562,Segment:  18
   1.93130,    1.04103,    0.00403,    1.45053,    0.28619,    0.42852,    0.34637,Segment:  19
   2.00436,    1.04132,    0.01366,    1.51931,    0.31871,    0.45485,    0.34583,Segment:  20
   2.07724,    1.04232,    0.02317,    1.58707,    0.35296,    0.48105,    0.34399,Segment:  21
   2.14998,    1.04400,    0.03244,    1.65387,    0.38894,    0.50704,    0.34090,Segment:  22
   2.22259,    1.04636,    0.04134,    1.71974,    0.42664,    0.53276,    0.33658,Segment:  23
   2.29511,    1.04936,    0.04976,    1.78470,    0.46607,    0.55814,    0.33112,Segment:  24
   2.36758,    1.05296,    0.05761,    1.84881,    0.50722,    0.58312,    0.32460,Segment:  25
   2.44002,    1.05714,    0.06480,    1.91208,    0.55009,    0.60765,    0.31710,Segment:  26
   2.51247,    1.06183,    0.07128,    1.97457,    0.59467,    0.63167,    0.30873,Segment:  27
   2.58496,    1.06700,    0.07698,    2.03630,    0.64096,    0.65515,    0.29961,Segment:  28
   2.65753,    1.07259,    0.08188,    2.09731,    0.68897,    0.67803,    0.28985,Segment:  29
   2.73021,    1.07854,    0.08597,    2.15764,    0.73868,    0.70029,    0.27956,Segment:  30
   2.80303,    1.08480,    0.08925,    2.21731,    0.79009,    0.72189,    0.26886,Segment:  31
   2.87604,    1.09131,    0.09173,    2.27638,    0.84321,    0.74281,    0.25785,Segment:  32
   2.94927,    1.09803,   -0.00770,    2.33487,    0.89803,    0.76303,    0.24664,Segment:  33
   3.02299,    1.09746,   -0.01018,    2.39279,    0.95454,    0.78303,    0.24758,Segment:  34
   3.09744,    1.09671,   -0.01234,    2.45010,    1.01274,    0.80330,    0.24884,Segment:  35
   3.17261,    1.09578,   -0.01421,    2.50671,    1.07263,    0.82387,    0.25038,Segment:  36
   3.24849,    1.09470,   -0.01579,    2.56253,    1.13420,    0.84475,    0.25218,Segment:  37
   3.32508,    1.09349,   -0.01709,    2.61750,    1.19745,    0.86597,    0.25420,Segment:  38
   3.40236,    1.09217,   -0.01813,    2.67152,    1.26236,    0.88753,    0.25641,Segment:  39
   3.48033,    1.09076,   -0.01890,    2.72452,    1.32895,    0.90945,    0.25879,Segment:  40
   3.55899,    1.08927,   -0.01941,    2.77642,    1.39719,    0.93175,    0.26129,Segment:  41
   3.63833,    1.08773,   -0.01965,    2.82715,    1.46709,    0.95443,    0.26389,Segment:  42
   3.71836,    1.08616,   -0.01964,    2.87661,    1.53864,    0.97750,    0.26655,Segment:  43
   3.79907,    1.08457,   -0.01937,    2.92473,    1.61184,    1.00096,    0.26924,Segment:  44
   3.88046,    1.08300,   -0.01884,    2.97143,    1.68668,    1.02483,    0.27193,Segment:  45
   3.96255,    1.08145,   -0.01805,    3.01664,    1.76315,    1.04911,    0.27457,Segment:  46
   4.04533,    1.07995,   -0.01701,    3.06026,    1.84125,    1.07379,    0.27713,Segment:  47
   4.12881,    1.07854,   -0.01571,    3.10222,    1.92098,    1.09887,    0.27956,Segment:  48
   4.21301,    1.07721,   -0.01417,    3.14245,    2.00233,    1.12434,    0.28184,Segment:  49
   4.29793,    1.07601,   -0.01239,    3.18086,    2.08530,    1.15021,    0.28392,Segment:  50
   4.38358,    1.07495,   -0.01039,    3.21736,    2.16988,    1.17645,    0.28575,Segment:  51
   4.46999,    1.07405,   -0.00817,    3.25189,    2.25606,    1.20306,    0.28731,Segment:  52
