#======= TRAJECTORY BEGIN: Rapid React 2022 -- Example
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     0.307       2.004       0.785      -0.000      -0.000       0.000      12.200
#--------Waypoint:     7.413       4.568      -0.419       6.837      -3.212      -1.204      10.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      2.54000  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Track width:               0.58420  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           Yes
#--------Track width:               0.58420  m
#--------Maximum voltage:          11.00000  V
#--------Feedforward Ks:            0.80000  V
#--------Feedforward Kv:            4.43307  V s/m
#--------Feedforward Ka:            1.91969  V s^2/m
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      1.52400  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    2.54000,    0.00000,    0.00000,    0.00000,   -0.00153,Segment:  1
   0.27329,    0.69416,    2.54000,    0.09485,   -0.00001,   -0.00019,   -0.00258,Segment:  2
   0.38556,    0.97932,    2.54000,    0.18879,   -0.00004,   -0.00049,   -0.00367,Segment:  3
   0.47107,    1.19652,    2.12121,    0.28182,   -0.00010,   -0.00088,   -0.00482,Segment:  4
   0.54343,    1.35000,    1.86022,    0.37395,   -0.00021,   -0.00138,   -0.00602,Segment:  5
   0.60812,    1.47035,    1.64409,    0.46518,   -0.00036,   -0.00199,   -0.00728,Segment:  6
   0.66759,    1.56812,    1.46192,    0.55552,   -0.00057,   -0.00270,   -0.00860,Segment:  7
   0.72320,    1.64941,    1.30638,    0.64498,   -0.00085,   -0.00353,   -0.00998,Segment:  8
   0.77581,    1.71814,    1.17214,    0.73357,   -0.00120,   -0.00448,   -0.01142,Segment:  9
   0.82600,    1.77697,    1.05528,    0.82128,   -0.00164,   -0.00555,   -0.01293,Segment:  10
   0.87418,    1.82782,    0.95280,    0.90812,   -0.00217,   -0.00674,   -0.01451,Segment:  11
   0.92066,    1.87211,    0.86236,    0.99411,   -0.00281,   -0.00806,   -0.01616,Segment:  12
   0.96567,    1.91092,    0.78212,    1.07925,   -0.00356,   -0.00951,   -0.01788,Segment:  13
   1.00940,    1.94512,    0.71060,    1.16354,   -0.00442,   -0.01109,   -0.01968,Segment:  14
   1.05197,    1.97537,    0.64657,    1.24699,   -0.00542,   -0.01281,   -0.02156,Segment:  15
   1.09351,    2.00223,    0.58904,    1.32960,   -0.00655,   -0.01467,   -0.02353,Segment:  16
   1.13413,    2.02615,    0.53717,    1.41139,   -0.00783,   -0.01668,   -0.02558,Segment:  17
   1.17388,    2.04751,    0.49025,    1.49236,   -0.00927,   -0.01884,   -0.02771,Segment:  18
   1.21286,    2.06662,    0.44768,    1.57251,   -0.01087,   -0.02115,   -0.02995,Segment:  19
   1.25110,    2.08374,    0.40896,    1.65186,   -0.01265,   -0.02361,   -0.03227,Segment:  20
   1.28867,    2.09910,    0.37364,    1.73040,   -0.01460,   -0.02624,   -0.03470,Segment:  21
   1.32560,    2.11290,    0.34134,    1.80815,   -0.01675,   -0.02904,   -0.03723,Segment:  22
   1.36193,    2.12530,    0.31173,    1.88511,   -0.01910,   -0.03201,   -0.03986,Segment:  23
   1.39770,    2.13645,    0.28452,    1.96128,   -0.02166,   -0.03515,   -0.04260,Segment:  24
   1.43293,    2.14648,    0.25946,    2.03667,   -0.02443,   -0.03847,   -0.04546,Segment:  25
   1.46765,    2.15549,    0.23631,    2.11130,   -0.02744,   -0.04198,   -0.04843,Segment:  26
