#======= TRAJECTORY BEGIN: Sample JSON to Trajectory conversion
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Trajectory source: Pathweaver
#--------Trajectory orientation: Robot Relative
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.50000,    0.00000,    0.00000,    0.00000,    0.00000,Segment:  1
   0.35649,    0.53474,    1.50000,    0.09531,   -0.00013,   -0.00398,   -0.08129,Segment:  2
   0.50462,    0.75693,    1.50000,    0.19098,   -0.00099,   -0.01509,   -0.14850,Segment:  3
   0.61889,    0.92834,    1.50000,    0.28724,   -0.00322,   -0.03206,   -0.20161,Segment:  4
   0.71588,    1.07382,    1.50000,    0.38425,   -0.00735,   -0.05369,   -0.24173,Segment:  5
   0.80198,    1.20296,    1.50000,    0.48204,   -0.01382,   -0.07888,   -0.27061,Segment:  6
   0.88042,    1.32062,    1.50000,    0.58059,   -0.02297,   -0.10671,   -0.29025,Segment:  7
   0.95309,    1.42963,    1.50000,    0.67979,   -0.03508,   -0.13639,   -0.30268,Segment:  8
   1.02117,    1.53176,    1.50000,    0.77945,   -0.05032,   -0.16730,   -0.30979,Segment:  9
   1.08546,    1.62820,    1.50000,    0.87933,   -0.06882,   -0.19897,   -0.31325,Segment:  10
   1.14650,    1.71974,    1.13908,    0.97914,   -0.09061,   -0.23105,   -0.31450,Segment:  11
   1.20499,    1.78637,   -0.00144,    1.07856,   -0.11570,   -0.26331,   -0.31471,Segment:  12
   1.26245,    1.78629,   -0.00894,    1.17722,   -0.14401,   -0.29562,   -0.31485,Segment:  13
   1.31981,    1.78577,   -0.02329,    1.27473,   -0.17544,   -0.32791,   -0.31569,Segment:  14
   1.37692,    1.78444,   -0.04350,    1.37071,   -0.20983,   -0.36020,   -0.31789,Segment:  15
   1.43361,    1.78198,   -0.06887,    1.46473,   -0.24698,   -0.39252,   -0.32197,Segment:  16
   1.48974,    1.77811,   -0.09891,    1.55640,   -0.28668,   -0.42499,   -0.32839,Segment:  17
   1.54513,    1.77263,   -0.13310,    1.64533,   -0.32869,   -0.45771,   -0.33754,Segment:  18
   1.59967,    1.76537,   -0.17065,    1.73116,   -0.37274,   -0.49084,   -0.34975,Segment:  19
   1.65320,    1.75624,   -0.21017,    1.81354,   -0.41855,   -0.52451,   -0.36526,Segment:  20
   1.70562,    1.74522,   -0.24914,    1.89218,   -0.46586,   -0.55887,   -0.38418,Segment:  21
   1.75682,    1.73247,   -0.28323,    1.96682,   -0.51437,   -0.59403,   -0.40638,Segment:  22
   1.80671,    1.71834,   -0.30542,    2.03728,   -0.56381,   -0.63007,   -0.43136,Segment:  23
   1.85521,    1.70352,   -0.30487,    2.10343,   -0.61392,   -0.66696,   -0.45800,Segment:  24
   1.90226,    1.68918,   -0.26571,    2.16522,   -0.66446,   -0.70457,   -0.48423,Segment:  25
   1.94780,    1.67708,   -0.16563,    2.22267,   -0.71520,   -0.74258,   -0.50672,Segment:  26
   1.99176,    1.66980,    0.02575,    2.27592,   -0.76595,   -0.78043,   -0.52040,Segment:  27
   2.03404,    1.67088,    0.34879,    2.32518,   -0.81656,   -0.81723,   -0.51835,Segment:  28
   2.07454,    1.68501,    0.38786,    2.37080,   -0.86691,   -0.85173,   -0.49194,Segment:  29
   2.11330,    1.70004,   -1.50000,    2.41324,   -0.91693,   -0.88225,   -0.43192,Segment:  30
   2.15140,    1.64289,   -1.50000,    2.45307,   -0.96662,   -0.90677,   -0.33049,Segment:  31
   2.22956,    1.52564,   -1.50000,    2.52797,   -1.06525,   -0.92891,    0.00000,Segment:  32
   2.27110,    1.46334,   -1.50000,    2.56466,   -1.11531,   -0.95643,   -0.81481,Segment:  33
   2.31719,    1.39419,    0.51786,    2.60088,   -1.17031,   -1.02384,   -1.14348,Segment:  34
   2.36914,    1.42110,    1.50000,    2.63627,   -1.23431,   -1.10652,   -1.07201,Segment:  35
   2.42616,    1.50663,    1.50000,    2.67051,   -1.31043,   -1.18646,   -0.83856,Segment:  36
   2.48819,    1.59966,    1.50000,    2.70336,   -1.40099,   -1.25531,   -0.60309,Segment:  37
   2.55547,    1.70058,    1.37763,    2.73466,   -1.50751,   -1.31135,   -0.42027,Segment:  38
   2.62790,    1.80038,    0.78356,    2.76429,   -1.63080,   -1.35582,   -0.29179,Segment:  39
   2.66617,    1.83036,    0.63670,    2.77846,   -1.69880,   -1.37435,   -0.24390,Segment:  40
   2.70606,    1.85576,    0.51576,    2.79220,   -1.77102,   -1.39078,   -0.20455,Segment:  41
   2.74758,    1.87717,    0.41779,    2.80551,   -1.84737,   -1.40532,   -0.17219,Segment:  42
   2.79074,    1.89520,    0.33927,    2.81838,   -1.92776,   -1.41821,   -0.14551,Segment:  43
   2.83552,    1.91040,    0.27673,    2.83084,   -2.01205,   -1.42963,   -0.12343,Segment:  44
   2.88187,    1.92322,    0.22708,    2.84288,   -2.10008,   -1.43975,   -0.10506,Segment:  45
   2.92974,    1.93409,    0.18772,    2.85453,   -2.19166,   -1.44872,   -0.08968,Segment:  46
   2.97905,    1.94335,    0.15652,    2.86578,   -2.28658,   -1.45665,   -0.07671,Segment:  47
   3.02970,    1.95128,    0.13179,    2.87666,   -2.38462,   -1.46366,   -0.06571,Segment:  48
   3.08159,    1.95811,    0.11218,    2.88719,   -2.48550,   -1.46983,   -0.05629,Segment:  49
   3.13460,    1.96406,    0.09666,    2.89738,   -2.58896,   -1.47525,   -0.04815,Segment:  50
   3.18861,    1.96928,    0.08442,    2.90726,   -2.69472,   -1.47998,   -0.04105,Segment:  51
   3.24348,    1.97391,    0.07485,    2.91684,   -2.80247,   -1.48407,   -0.03478,Segment:  52
   3.29905,    1.97807,    0.06747,    2.92616,   -2.91189,   -1.48757,   -0.02917,Segment:  53
   3.35518,    1.98186,    0.06195,    2.93523,   -3.02265,   -1.49053,   -0.02408,Segment:  54
   3.41171,    1.98536,    0.05803,    2.94408,   -3.13444,   -1.49296,   -0.01940,Segment:  55
   3.46848,    1.98866,    0.05554,    2.95273,   -3.24690,   -1.49490,   -0.01501,Segment:  56
   3.52531,    1.99181,    0.05441,    2.96122,   -3.35970,   -1.49636,   -0.01081,Segment:  57
   3.58205,    1.99490,    0.05459,    2.96957,   -3.47248,   -1.49735,   -0.00673,Segment:  58
   3.63851,    1.99798,    0.01587,    2.97781,   -3.58491,   -1.49788,   -0.00266,Segment:  59
   3.69457,    1.99887,   -0.05867,    2.98596,   -3.69663,   -1.49795,    0.00148,Segment:  60
   3.75014,    1.99561,   -0.06271,    2.99406,   -3.80732,   -1.49755,    0.00579,Segment:  61
   3.80511,    1.99217,   -0.06855,    3.00212,   -3.91664,   -1.49667,    0.01035,Segment:  62
   3.85933,    1.98845,   -0.07654,    3.01019,   -4.02426,   -1.49529,    0.01529,Segment:  63
   3.91265,    1.98437,   -0.08714,    3.01827,   -4.12986,   -1.49339,    0.02073,Segment:  64
   3.96493,    1.97981,   -0.10100,    3.02641,   -4.23316,   -1.49093,    0.02683,Segment:  65
   4.01602,    1.97465,   -0.11895,    3.03461,   -4.33385,   -1.48788,    0.03378,Segment:  66
   4.06581,    1.96873,   -0.14216,    3.04292,   -4.43166,   -1.48418,    0.04180,Segment:  67
   4.11418,    1.96185,   -0.17211,    3.05134,   -4.52635,   -1.47978,    0.05117,Segment:  68
   4.16103,    1.95379,   -0.21079,    3.05991,   -4.61768,   -1.47459,    0.06224,Segment:  69
   4.20628,    1.94425,   -0.26076,    3.06864,   -4.70543,   -1.46854,    0.07546,Segment:  70
   4.24985,    1.93289,   -0.32531,    3.07755,   -4.78942,   -1.46152,    0.09137,Segment:  71
   4.29169,    1.91928,   -0.40853,    3.08665,   -4.86950,   -1.45341,    0.11068,Segment:  72
   4.33177,    1.90291,   -0.51530,    3.09596,   -4.94552,   -1.44407,    0.13427,Segment:  73
   4.37006,    1.88317,   -0.77530,    3.10550,   -5.01738,   -1.43333,    0.16326,Segment:  74
   4.40663,    1.85482,   -1.50000,    3.11527,   -5.08502,   -1.42101,    0.19900,Segment:  75
   4.47549,    1.75153,   -1.50000,    3.13553,   -5.20753,   -1.39074,    0.29763,Segment:  76
   4.53875,    1.65664,   -1.50000,    3.15678,   -5.31321,   -1.35138,    0.44567,Segment:  77
   4.59600,    1.57077,   -1.50000,    3.17899,   -5.40288,   -1.30132,    0.65314,Segment:  78
   4.64734,    1.49376,   -1.19023,    3.20210,   -5.47808,   -1.24073,    0.89186,Segment:  79
   4.69331,    1.43905,    1.50000,    3.22599,   -5.54111,   -1.17495,    1.02581,Segment:  80
   4.76966,    1.55358,    1.50000,    3.27523,   -5.64421,   -1.09485,    0.00000,Segment:  81
   4.83735,    1.65511,    0.63834,    3.32553,   -5.74045,   -1.07832,    0.28671,Segment:  82
   4.90260,    1.69676,   -0.75097,    3.37911,   -5.83579,   -1.03601,    0.47030,Segment:  83
   4.96881,    1.64704,   -0.18366,    3.43818,   -5.92940,   -0.97800,    0.56394,Segment:  84
   5.03732,    1.63446,    0.15813,    3.50397,   -6.02054,   -0.91268,    0.58854,Segment:  85
   5.10698,    1.64548,    0.35538,    3.57682,   -6.10855,   -0.84633,    0.56699,Segment:  86
   5.17691,    1.67033,    0.45888,    3.65640,   -6.19286,   -0.78318,    0.51940,Segment:  87
   5.24637,    1.70220,   -1.48609,    3.74179,   -6.27303,   -0.72573,    0.46039,Segment:  88
   5.31764,    1.59629,   -1.50000,    3.83170,   -6.34874,   -0.67524,    0.39872,Segment:  89
   5.39362,    1.48232,   -1.50000,    3.92459,   -6.41981,   -0.63214,    0.33842,Segment:  90
   5.47470,    1.36070,   -1.50000,    4.01881,   -6.48619,   -0.59649,    0.28036,Segment:  91
   5.56152,    1.23047,   -1.50000,    4.11278,   -6.54800,   -0.56814,    0.22362,Segment:  92
   5.65531,    1.08978,   -1.50000,    4.20515,   -6.60552,   -0.54687,    0.16686,Segment:  93
   5.75863,    0.93481,   -1.50000,    4.29490,   -6.65921,   -0.53238,    0.10985,Segment:  94
   5.87722,    0.75693,   -1.50000,    4.38156,   -6.70973,   -0.52410,    0.05588,Segment:  95
   6.02714,    0.53204,   -1.50000,    4.46531,   -6.75792,   -0.52086,    0.01428,Segment:  96
   6.38184,    0.00000,   -1.50000,    4.54717,   -6.80485,   -0.52046,   -0.00000,Segment:  97
#======= TRAJECTORY END: Sample JSON to Trajectory conversion
