#======= TRAJECTORY BEGIN: Robot Sample 2 - Trajectory using Pathfinder
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),    Angle(rel)
#--------             meters,     meters,     radians,    meters,     meters,     radians
#--------Waypoint:     0.381       2.667      -0.785       0.000       0.000       0.000
#--------Waypoint:     2.667       1.651       0.000       2.335       0.898       0.785
#--------Waypoint:     5.334       2.692       0.785       3.484       3.520       1.571
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Robot type:     Tank    
#--------Maximum Velocity:         55.00000  in/s
#--------Maximum Acceleration:     40.00000  in/s^2
#--------Maximum Jerk:             70.00000  in/s^2
#--------Sample count:         100000.00000 
#--------Wheelbase width:          20.86600  inch
#--------Robot maximum velocity:     65.00000  in/sec
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Trajectory source: Pathfinder
#--------Trajectory orientation: Robot Relative
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00070,    0.03491,    0.00000,   -0.00000,    0.00000,    0.42225,Segment:  1
   0.06000,    0.00698,    0.13963,    0.00018,    0.00000,    0.00004,    0.21642,Segment:  2
   0.12000,    0.01955,    0.24435,    0.00095,    0.00000,    0.00020,    0.21310,Segment:  3
   0.18000,    0.03840,    0.34908,    0.00266,    0.00000,    0.00057,    0.21234,Segment:  4
   0.24000,    0.06353,    0.45380,    0.00569,    0.00000,    0.00121,    0.21225,Segment:  5
   0.30000,    0.09495,    0.55852,    0.01042,    0.00001,    0.00221,    0.21251,Segment:  6
   0.36000,    0.13265,    0.66324,    0.01722,    0.00003,    0.00365,    0.21306,Segment:  7
   0.42000,    0.17663,    0.76797,    0.02647,    0.00007,    0.00563,    0.21387,Segment:  8
   0.48000,    0.22690,    0.87269,    0.03855,    0.00016,    0.00821,    0.21499,Segment:  9
   0.54000,    0.28345,    0.97741,    0.05383,    0.00031,    0.01151,    0.21643,Segment:  10
   0.84000,    0.58714,    1.01232,    0.18437,    0.00369,    0.04058,    0.22909,Segment:  11
   1.04000,    0.78961,    1.01232,    0.32182,    0.01149,    0.07307,    0.24296,Segment:  12
   1.20000,    0.95158,    1.01232,    0.46054,    0.02405,    0.10790,    0.25722,Segment:  13
   1.34000,    1.09330,    1.01232,    0.60252,    0.04213,    0.14577,    0.27188,Segment:  14
   1.42000,    1.17010,    0.90760,    0.69200,    0.05641,    0.17082,    0.28100,Segment:  15
   1.48000,    1.22037,    0.80287,    0.76256,    0.06932,    0.19124,    0.28812,Segment:  16
   1.54000,    1.26435,    0.69815,    0.83562,    0.08429,    0.21299,    0.29534,Segment:  17
   1.60000,    1.30205,    0.59343,    0.91070,    0.10143,    0.23602,    0.30254,Segment:  18
   1.66000,    1.33347,    0.48871,    0.98737,    0.12085,    0.26024,    0.30960,Segment:  19
   1.72000,    1.35860,    0.38398,    1.06517,    0.14262,    0.28553,    0.31640,Segment:  20
   1.78000,    1.37745,    0.27926,    1.14364,    0.16678,    0.31178,    0.32279,Segment:  21
   1.84000,    1.39002,    0.17454,    1.22234,    0.19331,    0.33884,    0.32864,Segment:  22
   1.90000,    1.39630,    0.06982,    1.30081,    0.22219,    0.36654,    0.33382,Segment:  23
   2.00000,    1.39700,    0.00000,    1.43000,    0.27530,    0.41369,    0.34077,Segment:  24
   2.10000,    1.39700,    0.00000,    1.55652,    0.33450,    0.46164,    0.34521,Segment:  25
   2.20000,    1.39700,    0.00000,    1.68005,    0.39972,    0.51003,    0.34700,Segment:  26
   2.30000,    1.39700,    0.00000,    1.80027,    0.47085,    0.55847,    0.34607,Segment:  27
   2.40000,    1.39700,    0.00000,    1.91691,    0.54771,    0.60660,    0.34249,Segment:  28
   2.50000,    1.39700,    0.00000,    2.02975,    0.63005,    0.65405,    0.33643,Segment:  29
   2.60000,    1.39700,    0.00000,    2.13860,    0.71760,    0.70050,    0.32817,Segment:  30
   2.70000,    1.39700,    0.00000,    2.24332,    0.81004,    0.74566,    0.31808,Segment:  31
   2.80000,    1.39700,    0.00000,    2.34382,    0.90701,    0.78786,    0.22567,Segment:  32
   2.90000,    1.39700,    0.00000,    2.44098,    1.00739,    0.81570,    0.20429,Segment:  33
   3.00000,    1.39700,    0.00000,    2.53523,    1.11049,    0.84495,    0.21446,Segment:  34
   3.10000,    1.39700,    0.00000,    2.62636,    1.21637,    0.87563,    0.22474,Segment:  35
   3.20000,    1.39700,    0.00000,    2.71411,    1.32506,    0.90774,    0.23502,Segment:  36
   3.30000,    1.39700,    0.00000,    2.79825,    1.43658,    0.94128,    0.24514,Segment:  37
   3.40000,    1.39700,    0.00000,    2.87853,    1.55090,    0.97622,    0.25494,Segment:  38
   3.50000,    1.39700,    0.00000,    2.95468,    1.66801,    1.01249,    0.26423,Segment:  39
   3.60000,    1.39700,    0.00000,    3.02646,    1.78785,    1.05001,    0.27281,Segment:  40
   3.70000,    1.39700,    0.00000,    3.09362,    1.91034,    1.08867,    0.28047,Segment:  41
   3.80000,    1.39700,    0.00000,    3.15593,    2.03536,    1.12832,    0.28699,Segment:  42
   3.90000,    1.39700,    0.00000,    3.21318,    2.16278,    1.16880,    0.29221,Segment:  43
   4.00000,    1.39110,   -0.12613,    3.26513,    2.29227,    1.20985,    0.29590,Segment:  44
   4.06000,    1.37934,   -0.23085,    3.29353,    2.37041,    1.23452,    0.29737,Segment:  45
   4.12000,    1.36130,   -0.33558,    3.31972,    2.44838,    1.25902,    0.29825,Segment:  46
   4.18000,    1.33698,   -0.44030,    3.34362,    2.52574,    1.28319,    0.29855,Segment:  47
   4.24000,    1.30637,   -0.54502,    3.36522,    2.60207,    1.30688,    0.29829,Segment:  48
   4.30000,    1.26948,   -0.64974,    3.38452,    2.67692,    1.32991,    0.29752,Segment:  49
   4.36000,    1.22631,   -0.75447,    3.40158,    2.74986,    1.35216,    0.29630,Segment:  50
   4.42000,    1.17685,   -0.85919,    3.41647,    2.82042,    1.37348,    0.29469,Segment:  51
   4.48000,    1.12111,   -0.96391,    3.42931,    2.88818,    1.39374,    0.29277,Segment:  52
   4.60000,    0.99990,   -1.01232,    3.44940,    3.01386,    1.43073,    0.28834,Segment:  53
   4.74000,    0.85818,   -1.01232,    3.46515,    3.14296,    1.46787,    0.28262,Segment:  54
   4.92000,    0.67596,   -1.01232,    3.47667,    3.28054,    1.50641,    0.27547,Segment:  55
   5.16000,    0.43300,   -1.01232,    3.48282,    3.41346,    1.54256,    0.26769,Segment:  56
   5.38000,    0.21619,   -0.88619,    3.48416,    3.48438,    1.56139,    0.26347,Segment:  57
   5.44000,    0.16721,   -0.78146,    3.48425,    3.49585,    1.56441,    0.26280,Segment:  58
   5.50000,    0.12451,   -0.67674,    3.48429,    3.50458,    1.56670,    0.26233,Segment:  59
   5.56000,    0.08810,   -0.57202,    3.48431,    3.51093,    1.56836,    0.26207,Segment:  60
   5.62000,    0.05797,   -0.46730,    3.48432,    3.51528,    1.56950,    0.26206,Segment:  61
   5.68000,    0.03412,   -0.36257,    3.48432,    3.51802,    1.57021,    0.26243,Segment:  62
   5.74000,    0.01655,   -0.25785,    3.48432,    3.51951,    1.57060,    0.26374,Segment:  63
   5.80000,    0.00527,   -0.15313,    3.48432,    3.52013,    1.57076,    0.26959,Segment:  64
   5.90000,    0.00000,    0.00000,    3.48432,    3.52027,    1.57080,    0.00000,Segment:  65
#======= TRAJECTORY END: Robot Sample 2 - Trajectory using Pathfinder
